Designator,Mid X,Mid Y,Layer,Rotation
C1,132.800000mm,-107.200000mm,top,0.000000
C2,132.800000mm,-117.500000mm,top,0.000000
C3,109.000000mm,-103.000000mm,top,0.000000
C4,124.000000mm,-107.300000mm,top,90.000000
C5,127.000000mm,-107.300000mm,top,90.000000
C6,120.000000mm,-111.000000mm,top,0.000000
C7,110.000000mm,-105.900000mm,top,0.000000
C8,121.700000mm,-121.800000mm,top,0.000000
C9,104.000000mm,-132.800000mm,top,0.000000
C10,111.400000mm,-132.800000mm,top,0.000000
C11,118.800000mm,-132.800000mm,top,0.000000
C12,126.200000mm,-132.800000mm,top,0.000000
C13,133.600000mm,-132.800000mm,top,0.000000
C14,141.000000mm,-132.800000mm,top,0.000000
C15,148.400000mm,-132.800000mm,top,0.000000
C16,155.800000mm,-132.800000mm,top,0.000000
D1,104.000000mm,-136.500000mm,top,0.000000
D2,111.400000mm,-136.500000mm,top,0.000000
D3,118.800000mm,-136.500000mm,top,0.000000
D4,126.200000mm,-136.500000mm,top,0.000000
D5,133.600000mm,-136.500000mm,top,0.000000
D6,141.000000mm,-136.500000mm,top,0.000000
D7,148.400000mm,-136.500000mm,top,0.000000
D8,155.800000mm,-136.500000mm,top,0.000000
J1,103.000000mm,-111.000000mm,top,-90.000000
J2,156.600000mm,-126.000000mm,top,90.000000
Q1,123.000000mm,-117.600000mm,top,0.000000
R1,110.000000mm,-115.200000mm,top,0.000000
R2,115.000000mm,-112.650000mm,top,0.000000
R3,132.800000mm,-110.200000mm,top,0.000000
R4,130.000000mm,-121.300000mm,top,0.000000
R5,134.000000mm,-121.300000mm,top,0.000000
R6,138.000000mm,-121.300000mm,top,0.000000
R7,150.000000mm,-122.000000mm,top,0.000000
R8,150.000000mm,-124.000000mm,top,0.000000
R9,121.700000mm,-128.000000mm,top,0.000000
R10,121.700000mm,-130.500000mm,top,0.000000
R11,126.500000mm,-117.500000mm,top,0.000000
R12,126.500000mm,-120.000000mm,top,0.000000
R13,126.500000mm,-122.300000mm,top,0.000000
R14,115.000000mm,-110.900000mm,top,0.000000
R15,115.000000mm,-114.400000mm,top,0.000000
SW1,134.000000mm,-124.000000mm,top,0.000000
SW2,143.000000mm,-124.000000mm,top,0.000000
SW3,104.000000mm,-102.500000mm,top,0.000000
SW4,125.000000mm,-103.000000mm,top,0.000000
U1,145.000000mm,-113.200000mm,top,0.000000
U2,116.000000mm,-106.000000mm,top,0.000000
U3,121.700000mm,-124.500000mm,top,0.000000
U4,110.600000mm,-111.700000mm,top,0.000000
